Iteration,Settlements,Population,AveResources,MaxLoad,PeerTransfer,SubTransfer,Egalitarianism
0,10,1000,0,0,1,1,NaN
1,10,1013,0.02119675696399461,0.6961152746185102,0.9995864696221112,0.9997946554925683,1.2227388404157036
2,10,1011,0.037565175397248116,1.0884124534297652,0.999258995319277,0.9992989828859458,1.3058502358266202
3,10,1015,0.05193749027577599,1.2056314002995285,0.9992027865064333,0.9990311160835453,1.382908536647032
4,10,1021,0.0685133672341872,1.2056314002995285,0.9991027670155723,0.9984281778067778,1.4709109065120036
5,10,1027,0.08568224415514562,1.2537300141398202,0.9984387585052399,0.9983651633900663,1.5585168026904515
6,10,1038,0.10681368155346882,1.2537300141398202,0.9981645605614642,0.9980285147417625,1.654758100590401
7,10,1041,0.12733993013722117,1.2537300141398202,0.9979407698045535,0.9979420418509267,1.7625797534759164
8,10,1042,0.15314324405668828,1.2537300141398202,0.9974598821236466,0.9976446380763765,1.8850835031518158
9,10,1047,0.17368763658047826,1.2537300141398202,0.9972224400701609,0.9967917139551921,2.0157715499276447
10,10,1059,0.19740482655453623,1.1702801651181933,0.9971507686768133,0.9968376283961445,2.1292246105400254
11,10,1063,0.2197256811138589,1.1702801651181933,0.9968676903026352,0.9968424939531049,2.2378399950056913
12,10,1067,0.23747542014741904,1.1702801651181933,0.9965241933093179,0.9963426561128712,2.3070275613958295
13,10,1070,0.25656656556889595,1.1702801651181933,0.996317446354108,0.9962660208384355,2.42772360923681
14,10,1072,0.27444924882356714,1.1702801651181933,0.9958621938877374,0.9959997649071097,2.4875155324399176
15,10,1071,0.293805904498555,1.1702801651181933,0.9958336104058556,0.9961277821636353,2.577999501232246
16,10,1076,0.3047728530476232,1.1702801651181933,0.9955061217187252,0.9957031186537566,2.6363725975237946
17,10,1084,0.31349524657878536,1.1702801651181933,0.9955168742613258,0.9955205170729491,2.675098761486418
18,10,1084,0.32442369589417847,1.1702801651181933,0.9956729866189986,0.9952540093768167,2.739167560979435
19,10,1093,0.33199097214882367,1.1702801651181933,0.9954879238036012,0.9951876509450648,2.7913972245863174
20,10,1097,0.33502277941242603,1.1702801651181933,0.9950900191934251,0.9952617540296449,2.831839802710302
21,10,1110,0.3379163552436918,1.1702801651181933,0.9947082950342153,0.9949791182726695,2.862989524210971
22,10,1113,0.3404801959147664,1.1702801651181933,0.9946678339123467,0.9949644540342539,2.9306653635804483
23,10,1119,0.33935288477109105,1.1702801651181933,0.9943020515390458,0.9948736685311486,2.955438893477305
24,10,1125,0.33876530372398267,1.1702801651181933,0.9945199552160562,0.9941430134469307,2.9748107505139036
25,10,1127,0.33395834225297344,1.1702801651181933,0.9940885873439951,0.9937075953157033,2.9811838217376305
26,10,1136,0.3226841508684694,1.1702801651181933,0.9936975804702524,0.9932598094421368,2.939662460241789
27,10,1136,0.31305480352660175,1.1702801651181933,0.9936670436273214,0.9927134245177622,2.9537683421024985
28,10,1144,0.29874814929120197,1.1702801651181933,0.9932656333665673,0.9926029978857992,2.8776880704882117
29,10,1138,0.29071794882891944,1.1702801651181933,0.9928176327050868,0.9925685560171141,2.892481206333588
30,10,1147,0.2745436188824918,1.1702801651181933,0.9927119813018257,0.9921751651165487,2.795997986636533
31,10,1154,0.25642742512687444,1.1702801651181933,0.9923860941572489,0.9915189319199751,2.719728681923595
32,10,1149,0.23946504772771152,1.1702801651181933,0.9925222112085811,0.9914463136949674,2.6636597020625206
33,10,1167,0.21686200186375876,1.1702801651181933,0.9922885680632325,0.990884471331966,2.539352213352732
34,10,1166,0.19523926165119518,1.1702801651181933,0.9919690457735346,0.9906657112318632,2.427288111380214
35,10,1172,0.17071188280450575,1.1702801651181933,0.991343139670415,0.9905133082423798,2.3177822920050564
36,10,1187,0.1482609173827901,1.1702801651181933,0.9910732634326884,0.9907303885394818,2.1734388733859946
37,10,1193,0.12338527841388032,1.1702801651181933,0.9906988306501832,0.9907135134416979,1.9891678311063037
38,10,1198,0.0992636896538692,1.1702801651181933,0.9903130551881384,0.9904205025224847,1.7866882796380708
39,10,1208,0.07578698179021778,1.1702801651181933,0.9899701900352909,0.9900820997736934,1.5752621573431078
40,10,1220,0.05431075922362002,1.1702801651181933,0.9897876569771,0.9896498401165736,1.4201694014932296
41,10,1230,0.03344768050980137,1.375290847875601,0.9892455999602057,0.9890939423892225,1.308253345969657
42,10,1224,0.021433012291637233,1.375290847875601,0.9894490509541086,0.9890811751211949,1.330323912386472
43,10,1230,0.013734358620253373,1.375290847875601,0.9895033862346084,0.9887914864729949,1.4273578342449298
44,10,1233,0.00774419070910404,1.4631127200364102,0.98925076703623,0.9884387409915941,1.6506300620084375
45,10,1238,0.004455965666330505,1.663040766110225,0.9890584823862432,0.9885667700245726,1.9988729584584672
