Iteration,Settlements,Population,AveResources,MaxLoad,PeerTransfer,SubTransfer,Egalitarianism
0,10,1000,0,0,1,1,NaN
1,10,994,0.04043531844921919,0.6775877686909269,0.9999444722992374,1,1.3633933452244185
2,10,1004,0.06590906699574953,1.0283429691588064,0.9995118125330855,0.9994896871158077,1.4879625031674493
3,10,1006,0.08025711324887372,1.107608486977849,0.9988902083364513,0.9992687243214728,1.5239776885629828
4,10,1012,0.08959111290664526,1.4030754477600886,0.9987224174213267,0.9988757260597929,1.5538098046335682
5,10,1014,0.09768101988117998,1.4030754477600886,0.9984721642448239,0.9985592660956218,1.5859848389477118
6,10,1016,0.10441774650578059,1.4030754477600886,0.9982081907956536,0.998380466509867,1.6237952633916766
7,10,1022,0.1136659567541894,1.4030754477600886,0.9980844930435466,0.9982475018494543,1.6881911321917036
8,10,1021,0.12348341537856533,1.609817217761806,0.9979863181496661,0.9980783153740738,1.7107633193995004
9,10,1024,0.1284329698885136,1.6381895102440143,0.9979140367877275,0.9980885434382405,1.7538463275939686
10,10,1027,0.13298629710708282,1.7205062571440743,0.9978279536172844,0.9972755206209282,1.798172841083636
11,10,1038,0.13776816579479223,1.7205062571440743,0.9974372681159421,0.9968297703109558,1.8293080690419736
12,10,1047,0.142462402866867,1.7205062571440743,0.9972954383810692,0.996483890570563,1.8498122390555294
13,10,1052,0.15081124529063655,1.7205062571440743,0.9966585829061358,0.9963807124619152,1.9134284986612975
14,10,1059,0.1523068328479881,1.7205062571440743,0.9963267213626799,0.9963827143642435,1.937952000495286
15,10,1059,0.16532762992099292,1.7729780307403442,0.9963049729387761,0.9963083097170926,2.0010457732702056
16,10,1061,0.1666735450678827,1.7729780307403442,0.9961204726069747,0.9961971310249951,2.003738021980092
17,10,1065,0.17414720014650623,1.8573993458554123,0.9961149656504565,0.9960342612241015,2.004399472751374
18,10,1072,0.17776205193187722,1.8573993458554123,0.9955786689784405,0.996070949345951,2.038177973010174
19,10,1073,0.1822477783286381,1.9512478875248878,0.9951952483037877,0.9961127352472126,2.033578302055162
20,10,1074,0.19090474685381703,1.9512478875248878,0.9950983545591926,0.995922024799054,2.06159802459508
21,10,1081,0.198271111634783,2.0463453564272234,0.9952197267149927,0.9955811307799058,2.0761731019344265
22,10,1074,0.21021520716255213,2.1015810127517383,0.9951036828344109,0.9953519125154958,2.097547191818323
23,10,1087,0.21582214503167646,2.1015810127517383,0.9951811868329375,0.9954117351586105,2.1157987524827075
24,10,1090,0.22016711149651225,2.127787040507245,0.9951012078078272,0.9950973891028463,2.135381181446325
25,10,1096,0.2316237834438332,2.1015810127517383,0.9947717515269329,0.9948672132392111,2.1806974909601733
26,10,1096,0.2382705739119702,2.1015810127517383,0.9944528290102002,0.9948372333745658,2.1877944585226197
27,10,1094,0.2496845877598805,2.1015810127517383,0.994337115509507,0.9948045813721823,2.2413359670149173
28,10,1095,0.26300782629091785,2.1015810127517383,0.9942625819437507,0.9949884973449299,2.261318594554101
29,10,1096,0.271995704547176,2.1015810127517383,0.9941475391015799,0.9947860615612397,2.2649393209672297
30,10,1101,0.28131254318615784,2.1015810127517383,0.9942640949533686,0.9946094131049963,2.2939149733086035
