Iteration,Settlements,Population,AveResources,MaxLoad,PeerTransfer,SubTransfer
0,10,1000,0,0,0.5,0.5
1,10,1003,0.016310966082492915,0.6931985157360956,0.4997152364314485,0.5002077018944894
2,10,1008,0.024060956571737086,1.0550865768081803,0.4997230051243262,0.5001209189531486
3,10,1013,0.025070057223210023,1.0550865768081803,0.49996880277043754,0.5000810355750822
4,10,1018,0.023696207626373637,1.2169624739477602,0.4996860544794252,0.5000853025432063
5,10,1017,0.02629401625627888,1.2169624739477602,0.4998481540620367,0.5000533469701058
6,10,1021,0.027008183645739436,1.2169624739477602,0.5002114740691461,0.4997372492964424
7,10,1022,0.028156329472896525,1.2247742961323422,0.5002233950651868,0.4995340948063204
8,10,1025,0.026466757137621633,1.5209302827257423,0.5001308627961936,0.4996449912680081
9,10,1028,0.028179268337243414,1.5209302827257423,0.5001813155347603,0.49942245223259896
10,10,1025,0.026955362445315777,1.5594497354042665,0.5001112631973058,0.49901197672129827
11,10,1028,0.026484512428201296,1.6287534979412175,0.5000963178417814,0.49885557800552877
12,10,1039,0.02980352119153753,1.6512225411849806,0.49965634282251187,0.49925361985852923
13,10,1044,0.028306691186090215,1.6512225411849806,0.49982718855403707,0.499168478780187
14,10,1044,0.028378999320727526,1.807363499911606,0.49938084280069595,0.49866906462269156
15,10,1044,0.02873885430822193,1.9655448130518267,0.49942475598827346,0.4981418191903771
16,10,1054,0.029769766494211147,2.155455368896142,0.4995598433924201,0.4982737038134271
17,10,1062,0.029988619727536896,2.239208319876522,0.5007092834983318,0.4984385370300271
18,10,1069,0.03027362732313917,2.2846282521164984,0.500351297378589,0.49883006035283833
19,10,1073,0.03100428147101274,2.356398743436211,0.5001652760818606,0.4988222261339881
20,10,1073,0.029709491737750553,2.6867415446885046,0.4998666234665817,0.49893424723275004
21,10,1071,0.0333598968174229,2.6867415446885046,0.5000472024502264,0.4991729306521592
22,10,1080,0.029675423391527296,2.6867415446885046,0.4995148462185943,0.4991837268998448
23,10,1074,0.03185265302180894,2.6867415446885046,0.49973172499496704,0.499025951751913
24,10,1071,0.033502476442418695,2.6867415446885046,0.4999532671493527,0.4987624973096058
25,10,1066,0.03347761812516405,2.6867415446885046,0.49969669376828935,0.4986844200866961
26,10,1068,0.033120269917847237,2.6867415446885046,0.49974722378983605,0.4987982151108463
27,10,1078,0.03416024323856654,2.6867415446885046,0.4999391942682285,0.49876516359145573
28,10,1080,0.03333846399140902,2.72100393751041,0.4999078094477927,0.49915136756341916
29,10,1074,0.03174237918878499,2.997499339737072,0.5002210358136547,0.4985425998855403
30,10,1082,0.03271258148235884,2.997499339737072,0.5000400183637387,0.49872495830237595
31,10,1081,0.029212419806619185,2.997499339737072,0.4996792766052696,0.499093637700972
32,10,1080,0.030456439411970536,2.997499339737072,0.49949330976336376,0.49872366115325306
33,10,1081,0.031290285791533104,2.997499339737072,0.4993101621060559,0.4991055746456725
34,10,1091,0.03300766839952185,2.997499339737072,0.49934403933544697,0.49945099089280715
35,10,1089,0.03417235310240052,2.997499339737072,0.4992790184493474,0.4991301133367424
36,10,1091,0.03544588408696574,2.997499339737072,0.49929426353394507,0.4989000332594026
37,10,1092,0.03768843509430704,3.0769603304958064,0.49922025822886945,0.49915426099242816
38,10,1088,0.036421331540999455,3.0769603304958064,0.49920856020655935,0.4995266054329129
39,10,1097,0.03884131176788038,3.0769603304958064,0.4992673156956455,0.4997923619886004
40,10,1103,0.03901219703971109,3.0769603304958064,0.4992136364154696,0.5004975477799714
41,10,1104,0.03868755076134672,3.0769603304958064,0.4987283982470795,0.5006029155220524
42,10,1105,0.03957616219431458,3.0769603304958064,0.4986752945218676,0.5002549305780675
43,10,1111,0.038141910589535165,3.1615551672643725,0.49885972307014737,0.4992002461731637
44,10,1117,0.037795402341256584,3.1615551672643725,0.4991891396056619,0.4993142609036096
45,10,1118,0.03854045477882456,3.5,0.4987922275422948,0.49975194569930637
46,10,1116,0.03801273500961157,3.5,0.49886064234240496,0.49970388384459
47,10,1123,0.037889034780101305,4,0.4985639086844369,0.4994889854211474
48,10,1126,0.0393799422125035,4.5,0.49847620881290683,0.4993621172679383
49,10,1123,0.041154927962156786,5,0.49899831406257533,0.5003295700696645
50,10,1126,0.040649931296176,5.5,0.49878122752189097,0.5003830168980054
51,10,1126,0.04119541203129357,5.595895144253834,0.49828424030814134,0.501056146419016
52,10,1125,0.04231549276282173,6.095895144253834,0.49824560749149266,0.5009858360484695
53,10,1128,0.04116423524018546,6.601364658980329,0.4988813630361376,0.501155938275783
54,10,1133,0.04117789605602778,7.101364658980329,0.49901405480860417,0.5015962986669361
55,10,1140,0.04117865408079465,7.601364658980329,0.4992307562859727,0.5011857713648047
56,10,1135,0.04288308050751265,7.671675086632522,0.4994928037429062,0.5012118584536919
57,10,1138,0.04133979015686042,8.171675086632522,0.4996611894694438,0.5010628981271134
58,10,1142,0.042933590070220434,8.671675086632522,0.49925977654388154,0.5006392100128355
59,10,1143,0.04217554236591422,9.171675086632522,0.4993550471459368,0.500776339433979
60,10,1144,0.044233983546494826,9.671675086632522,0.49968611631465887,0.5003958991791058
61,10,1148,0.0449179210792746,10.171675086632522,0.4997023641233781,0.5002050305936359
62,10,1154,0.04615181225636086,10.734560180469312,0.5000753374363633,0.5000835227969127
63,10,1160,0.04680239389876417,11.234560180469312,0.4998727645957051,0.4999688799358905
64,10,1166,0.0470360341944268,11.734560180469312,0.5001727269484145,0.4997811567400333
65,10,1174,0.048923827346665075,12.234560180469312,0.5007376546205539,0.49958778311019786
66,10,1189,0.04933329444804231,12.734560180469312,0.5009740972280012,0.4990343595399082
67,10,1193,0.053307443893701914,13.267718585437922,0.5008110165671631,0.49929055234397424
68,10,1214,0.050260542869114654,13.267718585437922,0.5011667953791616,0.49976075960020444
69,10,1226,0.05026384427169779,13.828518465779172,0.5007513623469299,0.4998087577069116
70,10,1234,0.05346006755937055,14.328518465779172,0.5005541182508098,0.49950788653794775
71,10,1236,0.052152419762185445,14.828518465779172,0.5005607525269292,0.4995288858218476
72,10,1245,0.05432489424348887,15.328518465779172,0.5001556791644979,0.5001134080382281
73,10,1253,0.051945028089714206,15.828518465779172,0.5000565945404106,0.49941977262146553
74,10,1254,0.0545678302693096,16.328518465779172,0.49956472098881866,0.49941170767910464
75,10,1260,0.05509717582883501,16.828518465779172,0.49974126832496096,0.4998953291304661
76,10,1271,0.056372360139620895,16.940933808469843,0.49922466196299303,0.49967259469764763
77,10,1287,0.057224844607128886,17.440933808469843,0.4992896777232844,0.49957415524708393
78,10,1293,0.05561955123015231,17.940933808469843,0.498862778899129,0.4991867778931084
79,10,1300,0.05452600795726966,18.048949786852486,0.49916024607103643,0.4999001932241437
80,10,1313,0.05445441990097309,18.548949786852486,0.4994078765613306,0.4998916036548023
81,10,1321,0.05453352536594468,19.048949786852486,0.4996288780735568,0.49973246341436894
82,10,1328,0.05694906015584059,19.548949786852486,0.499530380888275,0.49942756921313086
83,10,1342,0.05635512541326789,20.048949786852486,0.49927954814387665,0.4996559659806795
84,10,1353,0.05742080376024107,20.548949786852486,0.49907629270980725,0.4995466834469876
85,10,1354,0.059164072861353875,20.57579914261714,0.49947844251777784,0.49966639324531414
86,10,1366,0.0574832399512998,21.07579914261714,0.4994107071057591,0.49949932367675653
87,10,1360,0.057564816963800204,21.57579914261714,0.4995121944561385,0.499228656123775
88,10,1365,0.058595077511308234,22.07579914261714,0.4999670013255934,0.49937860623959535
