Iteration,Settlements,Population,AveResources,MaxResources,MaxLoad,PeerTransfer,SubTransfer,Egalitarianism
0,10,1000,0,0,0,0.5,0.5,NaN
1,10,999,0.02335617457245088,0.1483534513163377,0.6796118881678617,0.5034195340155907,0.5029818567785718,1.220708733581788
2,10,997,0.040887816994524276,0.25947342046858507,1.0695100841448544,0.5072441997272561,0.506896375037118,1.3227671264029695
3,10,998,0.04792174196054077,0.2925486187226767,1.3843324923255718,0.5076369269456653,0.5103325457418135,1.3479426229877656
4,10,1002,0.053106022616716896,0.33291855374755297,1.5690582040419474,0.5095050188816491,0.5122233497814144,1.3825828366103112
5,10,1000,0.05630007162123217,0.3191177691745988,1.905620483780771,0.5125088503832185,0.5152570020340412,1.4076326979015965
6,10,996,0.05549041811807269,0.35953510252611875,1.905620483780771,0.5131462803130555,0.5160055741432819,1.4130293586239446
7,10,1002,0.059387803454251806,0.3659396901369862,1.905620483780771,0.5161171472357762,0.5194231548026204,1.438001817104592
8,10,1010,0.05876080685626635,0.3834299917766348,2.2617818750921357,0.5196750382391395,0.5230097084473632,1.4548320853933006
9,10,1015,0.06197853782359947,0.40506513449370696,2.3423996673677165,0.5218479809837393,0.5233092724169918,1.4839738981205028
10,10,1019,0.06508621007093343,0.37907094396577073,2.3423996673677165,0.5200865250701149,0.5194550296625212,1.5140888093132892
11,10,1016,0.0630688505527015,0.3813626427813055,2.710868944069408,0.5235144925295818,0.5209346431280261,1.5293366425648436
12,10,1025,0.06118036378776899,0.3796241759163365,2.710868944069408,0.5249509914003538,0.5211552146127605,1.5464635669339644
13,10,1028,0.06523970249590658,0.3498447009555866,2.710868944069408,0.525857364070264,0.5233974812627996,1.587389967482413
14,10,1028,0.0689441695218554,0.4128399226882569,2.748496073747044,0.5236300200247191,0.5232194332432485,1.606525527983644
15,10,1036,0.06683608983245368,0.4175138549340377,2.994711668332388,0.5286853368069668,0.5274999194110552,1.6143253611027624
16,10,1048,0.06647102973856497,0.36898521500547715,2.994711668332388,0.5330067980783647,0.5308184900194524,1.6381247619260337
17,10,1051,0.0669293165868981,0.41197342682816945,2.994711668332388,0.537762124723312,0.5344284614086027,1.6544406402123095
18,10,1046,0.06904465794027162,0.41539143641814225,2.994711668332388,0.5409442503132713,0.5352680856072847,1.656810284284463
19,10,1046,0.0700591108191117,0.42076114358896954,2.999369282093615,0.5410631886867499,0.5379788003432662,1.6618339881500865
20,10,1046,0.07328866502341477,0.46762964756576736,3.132756453168825,0.5421102601414809,0.5397330703421404,1.673422234050817
21,10,1058,0.07412801043091341,0.40435667951914056,3.132756453168825,0.5486773338349352,0.5438415075575922,1.6770232459368868
22,10,1052,0.07406519833634514,0.42876801900405326,3.132756453168825,0.5437774212081334,0.5397282046642293,1.6989292550941677
23,10,1051,0.07496435225436697,0.4173165512350287,3.132756453168825,0.5453273781427026,0.5413499907947555,1.7023290747590432
24,10,1056,0.07449688366792293,0.45496664364636963,3.15769832354835,0.5459807218788393,0.5413127669733167,1.6854526543733321
25,10,1060,0.07489062587257425,0.46934531162200027,3.3370540656801473,0.5475328517630301,0.5402645799609819,1.686276808069404
26,10,1056,0.07665339216829956,0.40417257835299436,3.3370540656801473,0.5494616472941312,0.5409981713988187,1.6953456433723082
27,10,1063,0.07551490405363075,0.4155352404970272,3.6921177896676167,0.5517194487380291,0.5439901761810263,1.7062609855160416
28,10,1062,0.07712477538261785,0.4419188107074553,3.6921177896676167,0.5519271469927655,0.5431559190080489,1.712378780142916
29,10,1061,0.07675723026363165,0.42405344257323574,3.6921177896676167,0.5530127511081802,0.5457507394120764,1.7042090157868086
30,10,1066,0.07396903599902759,0.4319176949567814,3.869299356742251,0.5549453750684202,0.545181775860677,1.7050449713845628
31,10,1069,0.07831815834517888,0.47906399187151544,3.993541927275146,0.554739622698661,0.545220624113015,1.719111855741376
32,10,1070,0.08066892984943953,0.41776975629497676,4.295552425544147,0.5578737787104135,0.5502341706697195,1.7241834779963918
33,10,1060,0.08117906130890555,0.41758784689631523,4.295552425544147,0.557214210286169,0.5512154091438161,1.7315017411363223
34,10,1052,0.08237680527572072,0.46579232190063435,4.295552425544147,0.5579088417260503,0.5529462892094663,1.864955089562499
35,10,1052,0.08622082601577347,0.4547573207173359,4.447626258899531,0.5605322227000401,0.5555792998856807,1.8848301691632297
36,10,1051,0.08446126048972857,0.42258892184692953,4.447626258899531,0.5623343111633925,0.5568713081186636,1.8899120110347
37,10,1051,0.08540627338038974,0.41273780483654227,4.767940409446693,0.5607283800278398,0.5572517765227617,1.9046597209690257
38,10,1066,0.0848340256958848,0.4088443895364327,4.916497395713469,0.5628764083582154,0.5616791926889827,1.8903146536667812
39,10,1072,0.08337371559664096,0.456634018850419,4.916497395713469,0.5652851503508084,0.5642657557067028,1.8822343399979304
40,10,1074,0.08804383713419556,0.40962209138042666,5.1862309844400585,0.5672674423012646,0.5625481030194747,1.8816409833957748
41,10,1071,0.09128241714779131,0.45371262399334683,5.1862309844400585,0.5662759776803454,0.5618137881650157,1.8760752852039297
42,10,1058,0.09244855849530634,0.48923136608191803,5.1862309844400585,0.564566440847127,0.5614553239193671,1.8756499905781372
43,10,1067,0.09321892763669956,0.43949140398278785,5.1862309844400585,0.5642793641767396,0.5603112995159883,1.8653491684490517
44,10,1069,0.09389452184317666,0.44009065308484646,5.5,0.5691074871242416,0.5644649380935587,1.867383380863086
45,10,1075,0.09139926693234843,0.44354896354518397,6,0.5706097371432379,0.5638424890910695,1.8511397268514989
46,10,1072,0.09430832228611867,0.47188391421362175,6.5,0.5710662501575255,0.5633799167221831,1.8552630817282187
47,10,1071,0.09407637590803801,0.4738344030002542,7,0.5710235544138997,0.5619198908478743,1.8642900409408942
48,10,1069,0.09577790245481507,0.45592937065942996,7.5,0.5721079827690561,0.5628468536486768,1.8661613350286028
49,10,1077,0.09539885427392816,0.4627677632011025,8,0.5734974764289549,0.563959965631951,1.8656225843784424
50,10,1083,0.09695520696412985,0.4653872517233071,8.5,0.5730979506110231,0.5643234205553448,1.86794277269748
51,10,1082,0.09797491512797504,0.5014420144442882,9,0.5746703101210041,0.5661988139035103,1.8642168024229688
52,10,1081,0.09915355942606809,0.45633184795878623,9.5,0.5775207277596308,0.569056729072724,1.8637324671847544
53,10,1073,0.10273952105241158,0.5114255183840891,10,0.582431502196701,0.573165129473415,1.8580897996334325
54,10,1083,0.10624124004014641,0.5197024790149191,10.5,0.5856609086809457,0.5748912285255003,1.8513380085903273
55,10,1082,0.10930234292215028,0.514277389473784,11,0.5879905202075101,0.5759691357982422,1.8667144280748158
56,10,1082,0.1087990510355561,0.5242661694914186,11.5,0.587593442089602,0.5754028915370953,1.858140685738829
57,10,1081,0.11150632000847352,0.48112233276166344,12,0.5831813585808129,0.5739281845285009,1.8641882203046338
58,10,1091,0.1066861916978942,0.5079195342539218,12.5,0.5828918239322672,0.5739104847639349,1.8355999520346913
59,10,1094,0.11084100631989666,0.49601122585189306,13,0.5843208190704132,0.5739346199843527,1.8413547101295946
60,10,1103,0.11318753423610084,0.5045170353457951,13.5,0.5875404706983746,0.5785074083416923,1.8477021199127674
61,10,1101,0.11368667913858144,0.49963672180403035,14,0.5890464253476032,0.5824859851053372,1.842308310711781
62,10,1101,0.11587192023727347,0.5305837647224192,14.5,0.5918437464209931,0.5836934237153528,1.83745071421436
63,10,1108,0.11646691284931247,0.5124315650470167,15,0.5942424940608249,0.5864029825767874,1.8331771735464963
64,10,1106,0.12046896438696542,0.5574054752092362,15.5,0.5905511789797177,0.5851957388544904,1.8418479050097667
65,10,1108,0.11827825006411816,0.5212496310158816,16,0.5916889178436346,0.5887414595099851,1.8323556009507986
66,10,1113,0.11910371224477383,0.5119495249472411,16.5,0.5945890625712391,0.5905671073078436,1.8395144318983279
67,10,1125,0.12059706172403532,0.5525861339237113,17,0.5980905631197456,0.5918028384882027,1.8387629044475
68,10,1132,0.12124521499006735,0.5721286428928155,17.5,0.5982822301353139,0.59328010174663,1.82641724592772
69,10,1129,0.1255718016045634,0.5349917737442558,18,0.5983231715079985,0.591739847862206,1.8225863623886995
70,10,1133,0.1240299168915644,0.5038822552143363,18.5,0.6001860375598727,0.5921735701295429,1.8134294821529917
71,10,1143,0.12260689437312015,0.5521805985297086,19,0.599626798694334,0.5893647552134842,1.7917818228297901
72,10,1151,0.12294739359732557,0.6026964022467522,19.5,0.602399765732947,0.5917053760244801,1.7853746666125552
73,10,1152,0.12720460667387917,0.5512159904681566,20,0.6006579324392193,0.5910175827921302,1.798650373302914
74,10,1160,0.12627796680418663,0.5900079126555897,20.5,0.5993819992374989,0.592824341803736,1.7842856317127709
75,10,1174,0.12788539923823633,0.5344807408631072,21,0.6033527282220157,0.5962740570165626,1.7747533581307386
76,10,1183,0.12854167918108075,0.5343009913788894,21.5,0.6054875229192573,0.5975250310354866,1.7651699952265203
77,10,1189,0.13300001820335633,0.540419349881697,22,0.6056430363312085,0.5974970606309618,1.769348903324617
78,10,1194,0.13183530924164302,0.5516628562203791,22.5,0.6076248036569398,0.5964976785668917,1.7741570505542208
79,10,1195,0.13245644152023497,0.5720681457933635,23,0.610438315119763,0.5983669149694306,1.7776252919486262
80,10,1206,0.1359077492709898,0.6198450768920111,23.5,0.6089154996900997,0.5995784906461149,1.7724530263589262
81,10,1215,0.13922481216118504,0.5568423554159891,24,0.6122149792637268,0.6030706944333717,1.7641886068704056
82,10,1216,0.13976563499356537,0.5796244298966787,24.5,0.6138735612174853,0.6047527602486429,1.7621713691459235
83,10,1221,0.1408549771327399,0.5506525726052727,25,0.6139913821024365,0.6051932402815554,1.7480084453760936
84,10,1228,0.1443873314167186,0.5415041355737434,25.5,0.6136782676731593,0.6039709482225701,1.740679192587583
85,10,1231,0.14785232794066644,0.5612755143939337,26,0.615015818466589,0.6054139367379872,1.7424309440973167
86,10,1234,0.1459056635369877,0.5568918789948513,26.5,0.6191827119421156,0.6086902697660633,1.726474197776207
