Iteration,Settlements,Population,AveResources,MaxLoad,PeerTransfer,SubTransfer,Egalitarianism
0,10,1000,0,0,0,0,NaN
1,10,998,0.036541422672358395,0,0,0,1.308182256696563
2,10,1005,0.07014976735202776,0.7958240156561232,0.0004532827301794171,0.000569572354439189,1.4686548727439228
3,10,1009,0.10146611674947936,1.194960246138756,0.0005376335988806113,0.0009950738624250977,1.5407478229329121
4,10,1001,0.15176175029068784,1.4950946202708648,0.0007022802356188287,0.0011306082484291286,1.6779560753204128
5,10,997,0.21580008190912886,1.5391963711741234,0.0007058178904302077,0.0011399530704818933,1.803146894019199
6,10,1001,0.2923018775795067,1.5649048040530942,0.0009225898420089458,0.001199397290244104,1.9219783525410563
7,10,1009,0.3786686054452232,1.5649048040530942,0.00151892276173725,0.0015801752629414246,2.084517572240317
8,10,1002,0.4921235709777568,1.5649048040530942,0.0017521828253231624,0.001740446850051866,2.238698144085933
9,10,1007,0.6068330398787792,1.5649048040530942,0.002132176850906792,0.0020657559180486543,2.354769247971658
10,10,1008,0.7270026113567504,1.5649048040530942,0.002526681992312136,0.0023971147313087814,2.4225860967611923
11,10,1003,0.8682392136612505,1.5124796040885382,0.002952601949669746,0.002391540134668804,2.4948720486212586
12,10,1006,1.0150094494132644,1.5124796040885382,0.003390898889643219,0.0024252300533035864,2.563260895085804
13,10,1009,1.1735867102550348,1.5124796040885382,0.0034888733977510135,0.0027618335589383826,2.6266596561075644
14,10,1006,1.341085621421326,1.5124796040885382,0.0038447677641392356,0.0031291931687451313,2.692861942280572
15,10,1013,1.5092831163510219,1.5124796040885382,0.004246295843317769,0.003286187424837121,2.709803209401052
16,10,1005,1.6916262269038669,1.5124796040885382,0.004652899682063842,0.003377630662718837,2.7612448635498397
17,10,1012,1.8606823582466643,1.5124796040885382,0.004773322743417706,0.003491295787919918,3.1743958882163463
18,10,1018,2.032058616268438,1.5124796040885382,0.0047283013040614295,0.003673566731869758,3.175433402170691
19,10,1020,2.205366829219458,1.5124796040885382,0.004778115720127556,0.0038786579026782635,3.180761255435154
20,10,1020,2.3844075499109243,2,0.005032438889113793,0.0038563653285135753,3.20127346265752
21,10,1019,2.5526922663294784,2.5,0.004798009471658013,0.0040928267775412145,3.1987160803825736
22,10,1024,2.7063669151612464,3,0.005044562908690771,0.004255085771983059,3.187529246458483
23,10,1027,2.8655530327705065,3.5,0.005504548479080172,0.004081144499554643,3.188571503067557
24,10,1029,3.0083166249890168,4,0.005699597919059827,0.004050250180617275,3.1437480570153133
25,10,1032,3.1521300463736805,4.5,0.005837704118261696,0.00438936448927846,3.153985872459292
26,10,1029,3.2994708139569426,5,0.006086418192408227,0.004362727993356036,3.172348777080132
27,10,1024,3.454278707982526,5.5,0.0063129598268191174,0.004374927809249312,3.1854536469163843
28,10,1023,3.5778004259051643,6,0.00646444334760983,0.0046434279628144205,3.1748198758777915
29,10,1029,3.652915558639742,6.5,0.007049192047672565,0.005032089231464556,3.142197502195206
30,10,1026,3.7597183401261263,7,0.007441486745058149,0.00552234057834142,3.144172611129377
31,10,1035,3.826668545758005,7.5,0.007769229646373654,0.005627589150723223,3.1152632480265345
32,10,1031,3.907519042287208,8,0.0077532177820199555,0.0057732665949350465,3.110717436359423
33,10,1037,3.940917475112072,8.5,0.007775896657790433,0.005627786462819801,3.081424669777791
34,10,1032,3.982409455217116,9,0.007921170819177129,0.005472041534933551,3.0776413792234494
35,10,1032,4.00911558140457,9.5,0.008142823734150534,0.005551734603769431,3.0496248666217247
36,10,1034,4.0040401652641915,10,0.008234779660156379,0.005516345314944243,3.026487131441453
37,10,1032,4.015402152961263,10.5,0.008160166605859009,0.005536216000868512,3.029762398513929
38,10,1030,3.993191849669676,10.5,0.008054496676582748,0.00625267060045597,3.019548800501404
39,10,1037,3.946771498029095,11,0.008147749685901302,0.006095155466938007,3.0066103354512337
40,10,1045,3.8624964661331918,11.5,0.008198154664198869,0.006574931216401718,2.9555105774747816
41,10,1041,3.8009650993359174,11.5,0.00817617082300803,0.007045310590571003,2.9304167715919527
42,10,1043,3.70169060833175,11.5,0.008407653429995424,0.007402762289913491,2.876934632308464
43,10,1041,3.627463713033466,11.5,0.008477528710307474,0.0074150131199217095,2.8333097409774792
