Iteration,Settlements,Population,AveResources,MaxLoad,PeerTransfer,SubTransfer,Egalitarianism
0,10,1000,0,0,0,0,NaN
1,10,1004,0.003303361866977822,0,0.00018592587629608613,0.00024335259564669696,1.2840536457852783
2,10,989,0.0044546285364291255,0.601875136872725,0.00018592587629608613,0.00028905193826330035,1.3038490385313348
3,10,985,0.0056028248703864775,1.191909380584306,0.0003124974056121964,0.00028905193826330035,1.328583812936473
4,10,986,0.006324346737641264,1.6364149123243812,0.0007904657760870357,0.000284326645143947,1.3341677934226426
5,10,985,0.008424452921650744,2.084395408885796,0.001109438145404463,0.0006651020320774805,1.3777111787112841
6,10,981,0.009409858473145651,2.6140271885658373,0.0012978005464968187,0.0007008442526612046,1.3620028249888239
7,10,978,0.010308088443423274,2.929605323354491,0.0015432512883825785,0.0007001789605997456,1.3657517506522554
8,10,977,0.011744224420153139,3.0238824401963984,0.001936030052711955,0.0008089250237852116,1.4127822493168138
9,10,976,0.013206132708454988,3.0408450183076887,0.002089296492235414,0.0011295776989608715,1.4816847983192163
10,10,976,0.01536711897481334,3.0408450183076887,0.0028790667106098635,0.001325941930606888,1.5781951946680828
11,10,972,0.01588797905207457,3.0408450183076887,0.00314903095378359,0.0014895616229573965,1.6039317070626298
12,10,974,0.017504366920496534,3.0408450183076887,0.0033998977019547108,0.00189721754718663,1.6606466488657858
13,10,973,0.0191248881213636,3.0408450183076887,0.0036021516806495194,0.0018919520311815388,1.7451272267322524
14,10,971,0.019564078238385862,3.0408450183076887,0.003985853977522538,0.0017300760005186076,1.7756616240817618
15,10,970,0.021263960822066958,3.0408450183076887,0.0043998928530407195,0.0017957514447063806,1.8128913437783134
16,10,971,0.021607005567719266,3.0408450183076887,0.005255195227794324,0.002169578378553124,1.8510001261296545
17,10,965,0.02205344032563989,3.0408450183076887,0.006421883208127093,0.0026410937166101945,1.8787130635173308
18,10,970,0.022437815745045366,3.0408450183076887,0.007168215894074898,0.003159154779470931,1.8870854755218949
19,10,971,0.022324869573109495,3.0408450183076887,0.00797229236157736,0.00316806041496715,1.9016545237460887
20,10,980,0.022735251548594435,3.0408450183076887,0.008692649396527766,0.0032963589584352818,1.9158774875776141
21,10,990,0.02301172797232543,3.0408450183076887,0.009940585439109376,0.0035612740114793844,1.9389462435446903
22,10,990,0.022816070366583688,3.0408450183076887,0.010044213495804933,0.0037646067160094234,1.9508323174318558
23,10,991,0.022260360236968858,3.0408450183076887,0.010842256716601125,0.0035872009052420302,1.9587325555787771
24,10,991,0.02215712745909231,3.0408450183076887,0.011256058915052453,0.0036326850356380364,1.9394796237193437
25,10,996,0.021887852396987546,3.0408450183076887,0.012229749740527209,0.003873322382956561,1.4689955987377115
26,10,1004,0.020218856226714998,3.0408450183076887,0.01218732565705453,0.004144977039773664,1.4314914391874016
27,10,1009,0.019865815626484165,3.0408450183076887,0.012182143537348523,0.004283812493918931,1.424026174940916
28,10,1003,0.019381141310578824,3.0408450183076887,0.012336793022350096,0.004734925533812379,1.4047438567947366
29,10,1004,0.01817613762289244,3.0408450183076887,0.01232425584064039,0.00498229882854361,1.3682294339971812
30,10,1002,0.01734551097931381,3.0408450183076887,0.012768150775530906,0.005206041132991264,1.3419174183248448
31,10,1002,0.015276141029012003,3.5,0.013259453819676947,0.0059542240276445856,1.308639106316254
32,10,1003,0.014236273716496889,3.5,0.013232345520666827,0.006256163489149968,1.289931063544471
33,10,1009,0.012953802777914298,4,0.01355707794538952,0.0061556863752858,1.2574967937852026
34,10,1010,0.011522614584905971,4,0.013714504761996715,0.006273959375916456,1.2357317466958975
35,10,1017,0.009446616798891033,4.5,0.013947370258163092,0.006579887994164138,1.19897931750168
36,10,1025,0.007971336186663262,5,0.01444084688258091,0.006808194126015554,1.1745586335597804
37,10,1027,0.006595199667975574,5,0.014697485442429183,0.007097148672864928,1.1561628715077856
38,10,1026,0.005049507835564469,5,0.015093680948183402,0.007115298891603797,1.1393846670413188
39,10,1023,0.004253966868547736,5,0.01529175582865066,0.007162491250278492,1.1349673896215107
40,10,1029,0.0034022798938103623,5,0.016511930168885143,0.007735302194872234,1.1357709946033192
41,10,1027,0.0027712302177527286,5,0.017429121852723436,0.008019011468292748,1.132261873591994
42,10,1027,0.0017363464323235007,5.5,0.01824596877868679,0.00818054791221431,1.1376450593085419
43,10,1028,0.0010204563632536922,5.5,0.019612079566531854,0.008524273700868642,1.1599122310515535
44,10,1031,0.0005908176296223423,6,0.020205871154020998,0.008894372265944889,1.1927685088945041
45,10,1027,0.0002784661904063612,6,0.02076033172836427,0.009316870215401677,1.2376701187621102
46,10,1030,0.0001487177082341038,6.5,0.020819374159421266,0.009612706527364814,1.3009864494625614
47,10,1024,0.00007674739715661273,6.573989272883637,0.02120006855712223,0.009588864497059858,1.3575708768106567
48,10,1022,0.00002026239056447346,6.900415413305981,0.021886468773686087,0.009561996804774358,1.3957892141294446
49,10,1022,0.0000003759903271301662,7.2747404735612236,0.022059302208946037,0.009825255573288331,1.4369650256303446
50,10,1018,0,7.459600550776049,0.021733408259253312,0.009705328826937335,1.4732745461490784
51,10,1011,0,7.956600872295341,0.02214392563911701,0.009627948173499667,1.5158448994572717
52,10,1007,0,8.441195743039815,0.02196350295533626,0.009691761103032024,1.5478682987831713
53,10,1005,0,8.647476512649703,0.022138777828008525,0.009841835919875,1.5856229144784122
54,10,1005,0,9.121174552863028,0.02259134770109029,0.010039922997732204,1.6233332793822919
55,10,999,0,9.539619399584941,0.022589339960129202,0.01030628538083796,1.6596137248598186
56,10,991,0,10.021375192620852,0.022731797106199502,0.010207612172614414,1.7047098246471732
57,10,990,0,10.481249277994415,0.02269621767240853,0.010445357504183985,1.7390771770836375
58,10,984,0,10.658837702114974,0.022801475908576833,0.010975830959757831,1.76767603104298
59,10,978,0,11.122154553374463,0.022775804313269497,0.010971435440035473,1.7954150540803495
60,10,971,0,11.347051409735172,0.02345257206096064,0.0113548900793338,1.8130353940872435
61,10,973,0,11.347051409735172,0.023802071895798742,0.011582355922251538,1.8358255778712151
62,10,963,0,11.716481740030957,0.02416062195778621,0.011955139702070603,1.8500219867597125
63,10,957,0,12.214781395495981,0.024341740531925407,0.011921895663616245,1.8639052056782848
64,10,956,0,12.532333628530711,0.02430669935404591,0.011938548752159994,1.8626810178132525
65,10,951,0,12.532333628530711,0.024276169013985847,0.011803392001621525,1.8664499158553876
66,10,951,0,12.768281507553532,0.02402563508464948,0.011763383248360933,1.8613445793621872
67,10,948,0,13.159617153616404,0.024423368837033742,0.0113688659876718,1.8370506965658926
68,10,944,0,13.349899681890061,0.024134797069545758,0.011326074266590783,1.8307850271073667
69,10,942,0,13.784604141465568,0.024385229855868516,0.01134862576552995,1.8190390437661808
70,10,937,0,14.223979339580696,0.024448321610031843,0.011232614443991295,1.7966395474284433
71,10,935,0.000018993355854586198,14.502082188126177,0.024797872630748046,0.011342210824452846,1.7867106419635892
72,10,936,0.00007376488947287243,14.991796520441284,0.025284511330500237,0.011396136969171852,1.770244646508615
73,10,933,0.0001729581641712927,15.25210586334898,0.02506111337566801,0.011641304965785158,1.7531577312399422
74,10,930,0.00031273584578085607,15.74135942590263,0.025668730142280317,0.011703347027979292,1.7425156911016537
75,10,930,0.0007070251029528763,15.973136820741265,0.025721322854042755,0.012366121415188783,1.7220433971405043
76,10,925,0.0009424762114338091,16.356149427839945,0.02644363621352614,0.012447279014077942,1.7331364579943138
77,10,927,0.0017860051119182325,16.52548397872104,0.026440039114606184,0.01254347596607413,1.71058452946986
78,10,931,0.0021836858226415264,16.58360395704978,0.026501009021958268,0.012824728755595236,1.6993229853394713
79,10,931,0.0028688843536496403,16.703995398795595,0.026573236127135656,0.012795690921325717,1.6891940101295024
80,10,929,0.0035529843347153643,16.996228612826524,0.027054180822763063,0.013146693778146146,1.6965568085307041
81,10,928,0.004893408692197121,17.181007811196,0.027528691020399686,0.013283752021830672,1.6851802707053338
82,10,928,0.0060130715466693695,17.48675400273028,0.027468171501912737,0.013515374120131884,1.6816993894582697
83,10,927,0.007353298710831855,17.7720009320819,0.027741621384881694,0.013793078784101834,1.669630149073466
84,10,929,0.008623937414223225,18.032079505223027,0.02865986983982443,0.014277392626108975,1.6569727230998366
85,10,929,0.010757208932862578,18.032079505223027,0.02911987554986815,0.014449060550055876,1.6533310781572206
86,10,932,0.011452807148391291,18.032079505223027,0.030080809978914498,0.014343854696832336,1.644302294827695
87,10,934,0.013613111435038603,18.032079505223027,0.030206538845450336,0.014694804626937157,1.6300517990512113
88,10,946,0.0146014845925465,18.032079505223027,0.030367684905663515,0.014584292446566394,1.611762765088324
89,10,955,0.015827007210431267,18.032079505223027,0.030336602251370887,0.01449786435164287,1.598382126530972
90,10,960,0.017302370511809554,18.032079505223027,0.030264138857306205,0.015392916119940014,1.5893526892625245
91,10,954,0.018450328793619637,18.032079505223027,0.030385882835896532,0.015632565835608018,1.5873860777646709
92,10,954,0.020034874439684,18.032079505223027,0.03111103102337165,0.016027385351584704,1.57556966740176
93,10,961,0.020535745342408766,18.032079505223027,0.03176711465462746,0.01625841979304756,1.5639017202102692
94,10,964,0.02146563348682048,18.032079505223027,0.032612729987471216,0.01636178184332577,1.5574932391244232
