Iteration,Settlements,Population,AveResources,MaxLoad,PeerTransfer,SubTransfer,Egalitarianism
0,10,1000,0,0,0,0,NaN
1,10,993,0.012429178544970398,0,0.00011094794021752174,0.00024513288913487403,1.4005485177936488
2,10,996,0.02063487896867487,0.14987404076819716,0.00011318931274716863,0.0004277456923477168,1.6297883661698565
3,10,1011,0.024326058676526062,0.3078318217023819,0.0005726331013026036,0.0006179824525888832,1.6632597296574192
4,10,1015,0.029249740008094167,0.6953719003862051,0.0007959153401049703,0.0009414993201646304,1.7300312881142574
5,10,1025,0.03436638627623319,1.4583967833494018,0.0019396448708721898,0.0009456258716763855,1.8119901949008657
6,10,1023,0.04133713870343027,1.6237540862187583,0.0019252672047582152,0.001152623104723827,1.9296626834520054
7,10,1022,0.04876220753763205,1.7000848343486517,0.0024294442198312116,0.0011496325956653316,2.0919665350645906
8,10,1023,0.057189217469322005,1.7000848343486517,0.00290072869598567,0.001407007585982611,2.345349050237223
9,10,1026,0.0643629517102081,1.7000848343486517,0.0040365757834912004,0.002102806534803832,2.538459320607499
10,10,1026,0.07083089836282229,1.7000848343486517,0.004437786450864029,0.002109109563611066,2.7426426657479084
11,10,1031,0.07850573103252542,1.7000848343486517,0.004800026607302998,0.002591328626739512,2.886842870852345
12,10,1040,0.08406400304833991,1.7000848343486517,0.005617114066876234,0.002869769917599986,3.0904027106952983
13,10,1048,0.08971700388563521,1.7000848343486517,0.005846589457831726,0.0030280371724703296,3.1685384045371934
14,10,1055,0.09698834220686943,1.7000848343486517,0.006643507224411982,0.004051145452875779,3.3254774301723256
15,10,1060,0.10143330231240785,1.7000848343486517,0.007023342564946888,0.004513174741224613,3.4354275719692313
16,10,1062,0.10609522905772015,1.7000848343486517,0.007862363866571753,0.004882639862903662,3.5489478910567613
17,10,1066,0.10686105140766,1.7000848343486517,0.009204583554871807,0.005630044700689996,3.6644118984203344
18,10,1071,0.1083721270406709,1.7000848343486517,0.01035875280531256,0.005881436903265472,3.656259399769453
19,10,1077,0.11030561006030419,1.7000848343486517,0.01091161571078625,0.006029884661342608,3.720129295264075
20,10,1083,0.11329405207326823,1.7000848343486517,0.011540505409642455,0.006106099513821636,3.8067918814782202
21,10,1090,0.11178712935798836,1.7000848343486517,0.012350629188297716,0.006528433427477949,3.8149060998228186
22,10,1101,0.11040996862169336,1.7000848343486517,0.013163021749677368,0.007171042190871729,3.775892089520634
23,10,1102,0.10914445084376478,1.7000848343486517,0.013014524441711866,0.007297428800719395,3.723695871539195
24,10,1109,0.11016659477816579,1.7000848343486517,0.013263536293047962,0.007546661237291502,3.8024178945048983
25,10,1110,0.1074724905616538,1.7000848343486517,0.013958701487463452,0.007791570153440036,3.7751763779221976
26,10,1109,0.10401578387601473,1.7000848343486517,0.014512680442381933,0.008225756309352432,3.660975284709882
27,10,1122,0.09998161350614934,1.7000848343486517,0.015377309823177457,0.008348237507659369,3.5717635852231844
28,10,1129,0.09508745068186805,1.7000848343486517,0.01606333728480647,0.008656182740007158,3.4682109580087315
29,10,1138,0.09101338265188738,1.7000848343486517,0.016718147969023316,0.008891157720737092,3.389014498955172
30,10,1138,0.08481122762008647,1.7000848343486517,0.016820932986195757,0.00941390929003932,3.301091744509331
31,10,1135,0.0790872249055287,1.7000848343486517,0.01664486567242807,0.00940627522591054,3.127634991370671
32,10,1135,0.07205574334173351,1.7000848343486517,0.017663284698134097,0.00950138542975409,2.8473646524680967
33,10,1135,0.06351173581633601,1.7000848343486517,0.018319240994816886,0.009659213058267651,2.6847979639730832
34,10,1129,0.05640636093152428,1.7000848343486517,0.018600465774542576,0.009843495015120907,2.4969947164851094
35,10,1137,0.04828883471102595,1.7000848343486517,0.01898543967215962,0.010504915235602505,2.2731083417932805
