Iteration,Settlements,Population,AveResources,MaxLoad,PeerTransfer,SubTransfer,Egalitarianism
0,10,1000,0,0,0,0,NaN
1,10,1006,0.019437643975699026,0,0.0003928922763803837,0.0006005387966200324,1.3554737127735852
2,10,1006,0.024966439791988856,0.5563531217651182,0.0004494345970295358,0.0006064847252994387,1.398198760112542
3,10,1001,0.02881039626105139,1.1096678679519139,0.0006739935806617342,0.0006224420015956292,1.375174207641086
4,10,1000,0.030654371167740068,1.5354074480869766,0.0010475522685850067,0.0012638993127471946,1.3430163734025038
5,10,1000,0.02805590948450829,2.0472659561178377,0.0014189731676758695,0.001533375240831703,1.2901486429630447
6,10,1002,0.02847948889924064,2.5561908312021147,0.0019630407405757918,0.0017300486312468593,1.262386778057286
7,10,1001,0.026300486210528107,3.1629495552303046,0.0023330435118672195,0.0022302863547802028,1.2273425526694028
8,10,999,0.02959990431545122,3.761142218644012,0.002727285492336509,0.0023202835739878367,1.2254851085178318
9,10,1001,0.029833258271592073,4.147141780357754,0.0031620715265883066,0.0025436257415918768,1.2061657176593696
10,10,1004,0.03149888853753124,4.696397343646277,0.0032139093878728276,0.00253987107124611,1.202754337411823
11,10,1012,0.032942269803632275,5.191775738716916,0.00349317654802661,0.002634025655239644,1.1932002517042852
12,10,1004,0.03140040286989065,5.783732529148378,0.0035081430668265036,0.002652191011323677,1.1746935426327547
13,10,1017,0.02944166387673139,6.2819338560158675,0.0040952664482872565,0.0030823364545387415,1.1605691568710226
14,10,1017,0.031286740833065006,6.948488616797207,0.004122995440978302,0.003105784430415026,1.163021310384588
15,10,1021,0.03161095499277622,7.527318671999322,0.004396972176635448,0.0031425939325313073,1.1543375073468156
16,10,1017,0.0347174265473352,8.160131070255789,0.004868313097896616,0.0031598982980341377,1.1573527735839066
17,10,1020,0.03563455905274708,8.65596190543907,0.005450446100649023,0.003495445497773696,1.1582290649261273
18,10,1024,0.03430276440860465,9.149737872994486,0.005634175937422977,0.003840369810920793,1.1547069183449792
19,10,1019,0.03334174048174669,9.658946125082224,0.0060943906083657535,0.0038508013351322553,1.1461671418963562
20,10,1027,0.03821523534408784,10.214548704355733,0.0067575138330078655,0.004089747429227053,1.157766417923424
21,10,1033,0.03764714675920106,10.760222142286636,0.0071759546251784715,0.004354770036405183,1.153744847356429
22,10,1040,0.039496112541459294,11.34523491061864,0.007882551433107088,0.004781560742792728,1.156019112642537
23,10,1040,0.039294314027375606,11.985279945794924,0.008044203819449196,0.00505652739389364,1.1561846174954467
24,10,1037,0.04014689981062589,12.474159131639103,0.008229131388323232,0.004916677260465961,1.1529144049632725
25,10,1037,0.03947181089983544,12.961354878798675,0.008419676927990135,0.005470502491254704,1.1498861948456869
