Iteration,Settlements,Population,AveResources,MaxLoad,PeerTransfer,SubTransfer,Egalitarianism
0,10,1000,0,0,0.5,0.5,NaN
1,10,995,0.03199576857488038,0.6956034520946195,0.49950531309357027,0.5017370414015658,1.2453764294092753
2,10,996,0.05273330456016871,1.0374111527946797,0.4979123294266419,0.5001603934275403,1.4779234313748653
3,10,997,0.0713028129027111,1.2042534962460807,0.5033488926475009,0.5058664425888016,1.5671527444709294
4,10,989,0.08558340610006279,1.6050969428488258,0.5024155370652438,0.5050681501009118,1.6197940152783068
5,10,989,0.10259726408247502,1.6050969428488258,0.5004766504086691,0.503901064852908,1.6827748558485964
6,10,993,0.11731489474595033,1.6050969428488258,0.5013139384302432,0.5066894340687307,1.7456212885610147
7,10,991,0.13140812605409724,1.8315827228911417,0.5044903076499074,0.5076686635481545,1.7954089021700654
8,10,996,0.14595316788574847,1.8315827228911417,0.5052996035208956,0.5112131306663863,1.81120268785965
9,10,1003,0.15406720786885358,2.181040826628735,0.5104538924880851,0.5164868967654563,1.809544352855711
10,10,1004,0.17335979835125628,2,0.5122031348805443,0.5177943858874132,1.8847459737266
11,10,1004,0.18690906659634932,2.5,0.5154836527968676,0.5217759259847743,1.9132602678909008
12,10,1005,0.2016289330397738,3,0.5156217280466527,0.5217885435278835,1.9484718554599814
13,10,1006,0.21200270058290757,3.5,0.5183358461037675,0.5242141324251273,1.977973055237078
14,10,1011,0.22624425012435995,4,0.5194552103961267,0.5271169045812534,2.0365699727088735
15,10,1014,0.2398758699533805,4,0.5225266082025732,0.5290942591007829,2.051296799271282
16,10,1012,0.2548862746056796,4.5,0.5235529027252255,0.5310929099644907,2.054876092512781
17,10,1013,0.26961556154128175,4.5,0.526644545743685,0.5348714846980834,2.077271733846694
18,10,1013,0.28378220092738854,4.5,0.5287006012103884,0.5377643021202501,2.11902919744535
19,10,1014,0.3013232313857727,4.5,0.5315177839901519,0.5398240935113866,2.1391995246542703
20,10,1014,0.31707301158662976,5,0.5314064283935461,0.5411367117738408,2.153956404546953
21,10,1017,0.3264306757471658,5.5,0.530447245729005,0.5437724436232896,2.164774590206423
22,10,1012,0.3448042909887207,5.5,0.5306000625912678,0.5436953987779214,2.1698078918298185
23,10,1015,0.3650610136094931,6,0.5343542929263605,0.548641317178794,2.178497536034512
24,10,1019,0.3832393228549815,6,0.5362938605277682,0.5504727700664898,2.1821577068300133
25,10,1018,0.4085222576204505,6,0.5357061809520236,0.5497468525169318,2.2146884951131063
26,10,1019,0.4331682442344368,6.5,0.5377271916069257,0.5525391629546708,2.2361298987585214
27,10,1013,0.45562144235981583,7,0.537880567534738,0.553104485034749,2.2436510576534374
28,10,1009,0.48546406920784885,7.5,0.5395523601659721,0.5539634304269477,2.2754865095562793
29,10,1008,0.4996132850655469,7.5,0.5423059700189439,0.5576390500914858,2.2836260856667896
30,10,1007,0.521781728386074,8,0.541761437380355,0.5567286334382893,2.3285394711835385
31,10,1011,0.5418997168447018,8.5,0.5385576651291235,0.5555596073339453,2.3542445821989495
32,10,1017,0.5609728985713106,9,0.5420225685227119,0.5596193232395156,2.363044424575715
33,10,1013,0.5894286968435872,9.5,0.5453452916561734,0.5617883567181178,2.3662460397965672
34,10,1014,0.6156691689672907,9.5,0.5447386203046422,0.5616919338532821,2.3688920010081134
35,10,1017,0.6378476072227546,10,0.5498690929095507,0.5649216532585845,2.3601551090579607
36,10,1016,0.6648521605160458,10.5,0.552201340478983,0.5676414827603062,2.390628729610966
37,10,1025,0.6916939687913375,11,0.5535915316471985,0.5681351789009648,2.411765386111521
38,10,1020,0.7277454873387719,11,0.5552551441760837,0.5697298654647881,2.4445907990830396
39,10,1022,0.7570778584849707,11.5,0.555392777736502,0.5697068114751893,2.469182145473373
40,10,1025,0.7897197043738361,12,0.5568282091272452,0.5725880982022485,2.713649791698085
41,10,1025,0.8208292989504125,12,0.5603787800873008,0.575233210575808,2.740816614058595
42,10,1025,0.8496256474303381,12,0.5638077325206954,0.5780138500072927,2.7733472409050823
43,10,1019,0.8880520025368096,12.5,0.5651181087208845,0.5782819179251298,2.796917484250111
44,10,1019,0.9161135987396285,13,0.5668041040328315,0.582908745345845,2.800007557926596
45,10,1020,0.9489013910420752,13,0.5666431221907263,0.5845549003302449,2.8226403693074777
46,10,1025,0.9756384851389681,13.5,0.5695897439759974,0.587413682477409,2.843702760622642
47,10,1024,1.0160191052856673,14,0.5716020854623339,0.5906258069445908,2.8739221577198806
48,10,1029,1.0490529945253364,14.5,0.5739019046473336,0.592493818273233,2.8803004300620647
49,10,1033,1.0751712111325424,15,0.5782161129778791,0.5956233753105706,2.8904618790324075
50,10,1040,1.1082480442547302,15.5,0.5801175979033865,0.5982608544218408,2.918238015009544
51,10,1042,1.145646017886352,15.5,0.5820587885762885,0.6004413088700779,2.9316845924635517
52,10,1055,1.1631144054001488,16,0.5854669589658136,0.6030905030185884,2.912163013653446
53,10,1069,1.1929968542336196,16.5,0.5853799483120604,0.6040897347385562,2.937141715965423
54,10,1069,1.2250384703730393,17,0.5843636785976468,0.6030408579041107,2.945211076844218
55,10,1080,1.2567570538355588,17.5,0.5849187842644337,0.6041169368766108,2.9531176879284424
56,10,1079,1.2974207349400388,17.5,0.5875647311887537,0.6049726445313671,2.9837357066887047
57,10,1083,1.3340869722911979,18,0.5886443925860407,0.6066156763443189,2.9770752356253536
58,10,1083,1.3753747551048956,18,0.5881744239774487,0.6074623084159254,3.009784549875353
59,10,1082,1.4131715415248978,18,0.5926236467544931,0.6101873555405437,3.014957020138615
60,10,1080,1.4631474082050384,18.5,0.5906513262662535,0.6080902896487698,3.049474353210561
61,10,1083,1.500758112998122,19,0.5918624029772617,0.6091023105121794,3.037063688970175
62,10,1085,1.5363400843939186,19,0.5922929846091451,0.6112890775275373,3.06219786571361
63,10,1091,1.5785722947846923,19.5,0.5962150038383922,0.6149742256657034,3.0735329339891257
64,10,1094,1.6148247335430348,20,0.5991648999931057,0.6159116766613569,3.1004146499318583
65,10,1101,1.659500288992967,20.5,0.5970284302543438,0.61448050428753,3.133833394043912
66,10,1101,1.6980937636816276,21,0.5975939111699129,0.614930794953602,3.1389484565195245
67,10,1111,1.7278659182282674,21.5,0.6000714783813386,0.6159443550410688,3.145234701824834
